Timestamp,Which of the following sentences BEST describes an architecture view?,How many years have you been developing software?,Number of OSS projects contributed to with at least one commit,How would you describe your OSS contribution?,What is your current role(s) in your organization?,What is your primary role in relation to architecture views?,"Architecture views should use an informal notation (for example boxes and arrows, icons)",Legends are not necessary in an architecture view,Architecture views should show the entire project and not just a portion of it,Architecture views should provide a high level overview of a project,Design information and runtime information are equally important to be reported in architecture views,Technologies used in a project are important in architecture views,What is the most valuable purpose(s) of an architecture view?,What is the most important concern(s) an architecture view should cover?,Which is the most important quality attribute an architecture view should cover?,For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Architecture design],For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Coding / implementation],For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Maintenance / operations],"Are you using in some way any standard notation in your architecture views? If so, which ones?",How important are the following elements in your architecture views? [Architectural components (for example code classes)],How important are the following elements in your architecture views? [Connection/Interaction (for example HTTP calls)],How important are the following elements in your architecture views? [Layers (for example the front end)],How important are the following elements in your architecture views? [Technologies (for example Kubernetes)],How important are the following elements in your architecture views? [Nested Components (for example elements of a layer)],How important are the following elements in your architecture views? [Users (for example end users)],How important are the following elements in your architecture views? [Legends (for example meaning of the colors used)],"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Which tool do you use to create architecture views? (if any),"If you are using a tool, what made you pick it?",What are the biggest challenges you face when creating architecture views?,Who is the intended user of your architecture views?,To which extent is it important to have versionable architecture views (version control with change tracking)?,To which extent is it important to have collaborative environment integration for architecture view editing?,To which extent is it important to have ready to be-used architecture view templates?,To which extent is it important to directly link architecture view elements to software artifact (for example code classes)?,To which extend is it important to be able to automatically generate architecture views from the code?,Do you use any (semi-)automatic tool for architecture view creation?,"If yes, please specify which tool you use",Which of the following aspects could in your opinion be automated?,"In your opinion, how will the creation of architecture views change in the future?",Any further comments o suggestions?
12/10/2024 20:33:20,A graphical representation showing the structure of system components,4-6 years,4-10 projects,Regular contributor,DevOps Engineer,Both creating and using architecture views,5,3,2,4,3,2,"Clarify the system structure, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making","General documentation, Data flow, Connection of components","Functionality, Maintainability, Flexibility",Very important,Important,Neutral,UML,Neutral,Important,Very important,Neutral,Unimportant,Neutral,Unimportant,,Draw.io / Diagram.net,"Easy to use, Free to use","Perceived low value, Lack of tools","Myself, New potential contributors, Existing contributors, Project maintainers",2,3,3,2,5,No,,"Identification of connections / interaction between components, Architecture view creation, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 20:35:11,A graphical representation showing the structure of system components,16+ years,21+ projects,Core/maintainer team member,Technical Lead,Creating architecture views,3,2,4,4,4,4,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Aid system documentation, Facilitate system evolution tracking",Connection of components,"Functionality, Compatibility, Interaction capability",Very important,Important,Neutral,UML,Important,Important,Very important,Important,Important,Unimportant,Neutral,,Draw.io / Diagram.net,"Easy to use, Already used in my development company, Versatile, Free to use","Perceived low value, Lack of templates","Myself, New potential contributors, Existing contributors",5,4,3,3,2,No,,Architecture view validation,,
12/10/2024 20:38:54,A graphical representation showing the structure of system components,16+ years,21+ projects,Regular contributor,"Software Developer, Software Architect, Product Owner, Technical Lead, DevOps Engineer",Using architecture views,3,5,1,4,1,5,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Visualize runtime behaviour","Control flow, Data flow, Connection of components",Functionality,Unimportant,Unimportant,Neutral,,Very unimportant,Very important,Neutral,Neutral,Unimportant,Very important,Neutral,,Draw.io / Diagram.net,"Already used in my development company, Frequent updates, Integration with other tools, Versatile, Presence of templates, Supports collaboration","Perceived low value, Complex to create, Hard to mantain, Lack of templates, Lack of existing documentation, Nobody uses the architecture views afterwards","New potential contributors, Existing contributors",5,3,3,2,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 20:39:29,A graphical representation showing the structure of system components,4-6 years,1-3 projects,Occasional contributor,"DevOps Engineer, SRE",Both creating and using architecture views,5,3,2,5,2,5,"Clarify the system structure, Ease understanding complex interactions, Aid system documentation","General documentation, Data flow, Connection of components","Functionality, Interaction capability, Maintainability, Flexibility",Very important,Important,Important,UML,Neutral,Important,Very important,Important,Neutral,Important,Important,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Easy to use, Already used in my development company, Presence of templates, Supports collaboration","Complex to create, Hard to mantain, Lack of tools, Insufficient architectural design skills","Myself, New potential contributors, Project maintainers",4,5,3,3,5,No,,"Identification of connections / interaction between components, Architecture view update, Architecture view validation",,
12/10/2024 20:40:07,A graphical representation showing the structure of system components,4-6 years,1-3 projects,Occasional contributor,Data Engineer ,Both creating and using architecture views,4,2,2,5,1,5,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Aid system documentation, Facilitate system evolution tracking, Show component dependencies","General documentation, Data flow, Connection of components","Functionality, Performance, Compatibility, Reliability, Security",Very important,Neutral,Very important,NONE,Unimportant,Important,Very important,Important,Very important,Very important,Important,,Lucid chart,Already used in my development company,"Complex to create, Lack of tools, Too time consuming, Insufficient architectural design skills","Myself, New potential contributors, Existing contributors, Project maintainers",5,5,3,2,3,No,,"Identification of connections / interaction between components, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 20:52:36,A graphical representation showing the structure of system components,16+ years,11-20 projects,Occasional contributor,Software Developer,Using architecture views,5,2,3,5,4,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Aid system documentation, Highlight architecture patterns","Control flow, Data flow","Interaction capability, Flexibility",Important,Neutral,Important,"UML, C4, 4+1 View Model, IEEE 1471/ISO/IEC 42010",Important,Important,Important,Neutral,Neutral,Neutral,Important,,"Draw.io / Diagram.net, AWS Architecture, Visio","Easy to use, Rich of features","Perceived low value, Hard to mantain, Lack of tools, Lack of existing documentation","New potential contributors, Existing contributors, Project maintainers",5,5,5,5,5,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view update, Architecture view validation",,
12/10/2024 20:54:09,A graphical representation showing the structure of system components,16+ years,11-20 projects,Core/maintainer team member,"Software Developer, Technical Lead",Both creating and using architecture views,3,2,5,5,4,5,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Highlight architecture patterns, Visualize runtime behaviour, Show component dependencies",Connection of components,Functionality,Very important,Important,Important,Mermaid,Very important,Very important,Very important,Very important,Important,Neutral,Important,,Mermaid,"Easy to use, Integration with other tools, Free to use",Complex to create,"Myself, New potential contributors, Existing contributors",5,3,2,3,3,Yes,AI summary/mermaid generation ,Architecture view validation,More Mermaid views generated by AI,
12/10/2024 20:54:33,A graphical representation showing the structure of system components,11-15 years,4-10 projects,Core/maintainer team member,"Software Developer, Software Architect",Both creating and using architecture views,3,4,2,5,2,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Aid system documentation, Show component dependencies",Connection of components,Functionality,Very unimportant,Unimportant,Very unimportant,UML,Very unimportant,Very unimportant,Very unimportant,Very unimportant,,,,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Easy to use, Integration with other tools, Free to use",Insufficient architectural design skills,"Myself, New potential contributors, Existing contributors",2,1,3,2,1,No,,Architecture view validation,,
12/10/2024 20:54:56,A graphical representation showing the structure of system components,4-6 years,1-3 projects,Occasional contributor,DevOps Engineer,Both creating and using architecture views,5,1,2,4,5,1,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Show component dependencies","General documentation, Connection of components","Functionality, Interaction capability",Very important,Important,Very important,UML,Very important,Very important,Important,Neutral,Neutral,Important,Neutral,,"Draw.io / Diagram.net, AWS Architecture","Easy to use, Integration with other tools, Free to use","Complex to create, Hard to mantain, Too time consuming","Myself, End users, New potential contributors",5,5,4,3,5,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view update",,
12/10/2024 20:55:28,A graphical representation showing the structure of system components,7-10 years,1-3 projects,Occasional contributor,"Software Developer, Technical Lead",Both creating and using architecture views,4,1,2,4,4,1,"Clarify the system structure, Ease understanding complex interactions, Help in design decision-making, Aid system documentation, Highlight architecture patterns, Visualize runtime behaviour, Show component dependencies","General documentation, Data flow, Connection of components",Not sure,Very important,Very important,Very important,"UML, C4",Very important,Very important,Very important,Very important,Neutral,Very important,Very important,,"Draw.io / Diagram.net, Mermaidjs","Easy to use, Already used in my development company, Integration with other tools, Free to use","Lack of existing documentation, Too time consuming","Myself, New potential contributors, Existing contributors, Project maintainers",4,3,2,1,4,No,,Identification of architecture components,,
12/10/2024 20:57:52,A graphical representation showing the structure of system components,16+ years,11-20 projects,Occasional contributor,Software Developer,Creating architecture views,4,4,5,5,2,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies","Data flow, Connection of components","Performance, Interaction capability, Maintainability",Very important,Important,Very important,UML,Important,Important,Very important,Neutral,Important,Very important,Neutral,,PowerPoint / Keynote / Slides,"Easy to use, Rich of features, Already used in my development company, Integration with other tools, Presence of templates, Free to use, Supports collaboration","Complex to create, Lack of templates, Lack of tools, Lack of existing documentation, Too time consuming","Myself, New potential contributors, Existing contributors",3,4,4,3,4,No,,"Identification of connections / interaction between components, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 21:04:21,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Occasional contributor,"Software Developer, Technical Lead",Both creating and using architecture views,4,3,3,5,2,4,"Clarify the system structure, Ease understanding complex interactions, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies","Control flow, Data flow, Connection of components",Not sure,Very important,Unimportant,Important,UML,Neutral,Unimportant,Unimportant,Important,Neutral,Important,Important,,"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides","Easy to use, Rich of features, Already used in my development company, Integration with other tools, Versatile, Free to use, Supports collaboration","Complex to create, Hard to mantain, Too time consuming, Nobody uses the architecture views afterwards","Myself, New potential contributors, Existing contributors, Project maintainers",3,3,2,3,3,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 21:20:40,A graphical representation showing the structure of system components,7-10 years,1-3 projects,Occasional contributor,Principal Engineer ,Both creating and using architecture views,5,2,5,1,1,4,"Clarify the system structure, Ease understanding complex interactions, Assist communication among team members, Show component dependencies","Data flow, Connection of components",Interaction capability,Very important,Neutral,Important,UML,Unimportant,Important,Important,Neutral,Very important,Neutral,Very important,,"Draw.io / Diagram.net, Visio","Easy to use, Already used in my development company, Integration with other tools","Hard to mantain, Too time consuming, Nobody uses the architecture views afterwards","Existing contributors, Project maintainers",5,4,4,3,5,No,,"Identification of architecture components, Identification of connections / interaction between components, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 21:23:26,A graphical representation showing the structure of system components,4-6 years,1-3 projects,Occasional contributor,"Software Developer, Software Architect",Both creating and using architecture views,5,3,1,4,3,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Aid system documentation","Control flow, Data flow, Connection of components, It really depends on the context were the view is used. A view itself is nothing with the text and context around it. The context could be as simple on were it is located in a project structure. ","Functionality, Interaction capability, Maintainability",Important,Unimportant,Important,,Neutral,Important,Very important,Neutral,Important,Important,Neutral,,"Draw.io / Diagram.net, plantUML","Easy to use, Integration with other tools, Ability to easily integrate it into a codebase","Hard to mantain, Too time consuming","Myself, New potential contributors, Existing contributors",2,3,1,2,1,No,,"Identification of architecture components, Identification of connections / interaction between components",,It feels like this questionair is really focusing on the code aspect. while a architecture overview is a bit more high over.
12/10/2024 21:26:09,A graphical representation showing the structure of system components,16+ years,21+ projects,Regular contributor,"I steward the product roadmap for an OSS with 600 contributors, own a company that has published a few hundred extensions for it and related projects, serve on the Community Council for ecosystem, fund and drive spec for major new features. Occasionally do PR reviews. Documentation contributor, including co-authoring a 574pp book, etc.",Both creating and using architecture views,4,2,1,4,3,3,"Assist communication among team members, There should be different views for different stages of work, and type of system or change. Not one size fits all.","You need different architectural views for different purposes. Not a single view, unless it covers your needs.","Functionality, Performance, Compatibility, Interaction capability, Reliability, Security, Maintainability, Flexibility, Safety",Very important,Neutral,Neutral,"Sometimes simplified UML, often not standard, one project BPMN.",Neutral,Neutral,Important,Neutral,Neutral,Important,Neutral,"It's really misbegotten, this whole thing of a single most x or y. It totally depends on who the view is being created for and why. You need different views for different purposes.","PowerPoint / Keynote / Slides, Visio, LucidChart, MockUp","Easy to use, Rich of features, Already used in my development company, Versatile, Presence of templates","Complex to create, Hard to mantain, Nobody uses the architecture views afterwards","New potential contributors, Existing contributors, Project maintainers, Clients funding work",2,2,3,2,2,Yes,"For data we use tools that create data diagrams from database, eg MySQL Workbench","Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc), Tooling varies widely between different stacks/languages. PHP not great.",It's an area with continual promise rarely achieved over the decades.,"I hate your survey, it didn't let me say what I wanted, as I disagree with the premise of many questions. It seemed to think there was a single architectural view, rather than using them as a group of ephemeral objects serving a certain purpose during a certain period."
12/10/2024 21:44:40,A graphical representation showing the structure of system components,4-6 years,4-10 projects,Regular contributor,Software Developer,Using architecture views,4,4,4,4,3,2,"Clarify the system structure, Ease understanding complex interactions, Aid system documentation, Show component dependencies","General documentation, Connection of components","Functionality, Interaction capability",Very important,Very important,Important,UML,,Very important,Very important,Unimportant,Important,Neutral,Neutral,,Draw.io / Diagram.net,"Easy to use, Presence of templates, Supports collaboration",Too time consuming,"New potential contributors, Existing contributors, Project maintainers",4,3,3,2,2,No,,"Identification of architecture components, Identification of connections / interaction between components",,
12/10/2024 21:45:06,A graphical representation showing the structure of system components,16+ years,4-10 projects,Core/maintainer team member,"Software Developer, Data Scientist",Both creating and using architecture views,5,1,2,4,4,4,"Clarify the system structure, Ease understanding complex interactions, Aid system documentation, Highlight architecture patterns, Show component dependencies",General documentation,Functionality,Very important,Important,Important,Simple architecture views like mine do not need standard notation.,Very important,Very important,Very important,Important,Important,Important,Very important,,"PowerPoint / Keynote / Slides, Visio","Easy to use, Rich of features, Presence of templates",Too time consuming,Myself,3,3,5,5,5,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",ViewGPT AI,
12/10/2024 21:49:01,A graphical representation showing the structure of system components,2-3 years,4-10 projects,Occasional contributor,Software Developer,Both creating and using architecture views,3,3,3,4,3,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Help in design decision-making, Aid system documentation","Control flow, Data flow","Performance, Reliability, Security",Very important,Important,Important,,Important,Important,Important,Important,Important,Important,Important,,"Draw.io / Diagram.net, AWS Architecture","Easy to use, Already used in my development company, Free to use",Lack of existing documentation,"Myself, New potential contributors, Existing contributors, Project maintainers",5,5,4,3,3,No,,Architecture view creation,,
12/10/2024 22:00:13,A graphical representation showing the structure of system components,4-6 years,4-10 projects,Occasional contributor,Software Developer,Both creating and using architecture views,2,2,1,2,3,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Help in design decision-making, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Interaction capability, Security",Very important,Important,Important,,Unimportant,Unimportant,Important,Important,Neutral,Neutral,Neutral,System components / external microservices - Very important ,"Draw.io / Diagram.net, Freeform","Easy to use, Rich of features, Presence of templates, Free to use","Hard to mantain, Lack of templates, Lack of tools, Insufficient architectural design skills","Myself, New potential contributors, Existing contributors, Project maintainers",5,3,4,3,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 22:00:21,A graphical representation showing the structure of system components,16+ years,4-10 projects,Occasional contributor,"Software Developer, Software Architect",Both creating and using architecture views,3,2,1,4,4,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members","Deployment, Control flow, Data flow, Connection of components","Functionality, Performance, Compatibility, Reliability, Security, Maintainability, Safety",Very important,Important,Very important,C4,Neutral,Important,Important,Important,Neutral,Unimportant,Neutral,,"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides","Easy to use, Already used in my development company, Versatile, Free to use","Complex to create, Hard to mantain, Too time consuming","Myself, New potential contributors, Existing contributors",5,4,3,3,2,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view validation",,
12/10/2024 22:05:37,A graphical representation showing the structure of system components,16+ years,4-10 projects,Occasional contributor,Software Developer,Neither,5,1,3,5,3,4,Assist communication among team members,Data flow,Maintainability,Very important,Important,Very important,,Important,Important,Important,Neutral,Neutral,Neutral,Important,,Google Drawings,Rich of features,Hard to mantain,Existing contributors,4,4,3,4,3,No,,NONE,,
12/10/2024 22:09:02,A graphical representation showing the structure of system components,11-15 years,4-10 projects,Occasional contributor,"Software Developer, Software Architect, Technical Lead",Both creating and using architecture views,4,2,2,5,2,1,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members",General documentation,"Functionality, Interaction capability",Very important,Important,Unimportant,C4,Important,Important,Important,Unimportant,Neutral,Important,Neutral,,Mardown / plantuml / mermaid,"Easy to use, Free to use, Supports collaboration","Hard to mantain, Nobody uses the architecture views afterwards","Myself, End users, Project maintainers",5,4,3,1,2,No,,"Identification of architecture components, Identification of connections / interaction between components",,
12/10/2024 22:13:38,A graphical representation showing the structure of system components,11-15 years,21+ projects,Core/maintainer team member,"Software Developer, Technical Lead",Creating architecture views,4,2,5,5,5,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Show component dependencies","Data flow, Connection of components","Interaction capability, Reliability, Security, Maintainability",Very important,Important,Important,,Important,Important,Neutral,Neutral,Unimportant,Important,Neutral,,"Draw.io / Diagram.net, TLdraw","Easy to use, Rich of features, Already used in my development company, Presence of templates","Perceived low value, Hard to mantain, Lack of tools, Too time consuming","End users, New potential contributors",5,5,4,3,4,No,,"Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation",,
12/10/2024 22:22:10,A list of technologies that could be used,11-15 years,4-10 projects,Core/maintainer team member,Technical Lead,Both creating and using architecture views,5,1,1,3,1,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns","Control flow, Data flow, Connection of components","Interaction capability, Flexibility",Very important,Very unimportant,Important,"UML, C4",Very important,Very important,Unimportant,Neutral,Neutral,Very important,Very important,,"plantUML, Mermaid","Easy to use, Already used in my development company, Versatile","Hard to mantain, lack of teams’ discipline and understanding when it comes to design diagrams: development and maintenance in a unified way","Myself, End users, New potential contributors, Existing contributors, Project maintainers",5,4,3,5,3,No,,"Architecture view creation, Architecture view update, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 22:22:34,A graphical representation showing the structure of system components,16+ years,4-10 projects,Occasional contributor,Software Developer,Creating architecture views,2,2,3,4,4,4,Assist communication among team members,"General documentation, Connection of components",Maintainability,Important,Important,Important,"UML, ArchiMate",Unimportant,Important,Important,Important,Important,Important,Neutral,,plant uml,Efficiency,"Hard to mantain, Lack of existing documentation, Too time consuming, Nobody uses the architecture views afterwards",New potential contributors,5,2,3,3,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 22:37:08,A graphical representation showing the structure of system components,16+ years,21+ projects,Regular contributor,"Software Developer, Software Architect",Both creating and using architecture views,3,1,3,4,3,3,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Interaction capability",Important,Important,Important,"UML, dot, mermaid, human-editable SVGs",Very important,Important,Important,Neutral,Very important,Important,Very important,service dependencies,"vim, or any text editor capable of syntax highlighting for puml, mermaid, dot, SVG",Free Software/Open Source,concensus on the content (nothing with the tooling/presentation),"Myself, End users, New potential contributors, Existing contributors, Project maintainers, any stakeholder",5,1,1,1,1,No,,"any of these could be automated, but probably badly because taking the thoughtful and experienced brains out of the process is seldom useful for communication","The fashion will swing between tools, and each will meet the dark fate of Rational Rose; but the need to create views will march on, yet version control (like git) will continue to hold the data used to render the ideas; the data will outlive the tools.",
12/10/2024 22:38:21,A graphical representation showing the structure of system components,7-10 years,21+ projects,Core/maintainer team member,Software Developer,Both creating and using architecture views,4,3,1,5,1,1,"Support onboarding new developers, Aid system documentation, Show component dependencies",General documentation,"Functionality, Maintainability",Very important,Neutral,Important,,Neutral,Important,Important,Neutral,Important,Neutral,Unimportant,,mermaid,"Supports collaboration, git friendly","Too time consuming, Insufficient architectural design skills","New potential contributors, Existing contributors",4,5,3,2,3,No,,Architecture view update,,
12/10/2024 22:42:15,A graphical representation showing the structure of system components,4-6 years,11-20 projects,Occasional contributor,Software Developer,Both creating and using architecture views,4,2,4,4,5,3,"Support onboarding new developers, Ease understanding complex interactions, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking",Data flow,"Functionality, Compatibility, Security, Maintainability, Flexibility",Very important,Neutral,Very important,"C4, 4+1 View Model, Reference Model of Open Distributed Processing (RM-ODP)",Neutral,Very important,Neutral,Important,Neutral,Important,Neutral,,"Draw.io / Diagram.net, AWS Architecture, Visio","Rich of features, Already used in my development company","Complex to create, Insufficient architectural design skills","New potential contributors, Existing contributors, Project maintainers",5,5,5,3,3,Yes,"IDE UML Diagram Features,Code Analysis Tools,API documentation generators that create reference materials from source code","Architecture view creation, Architecture view update, Linking architecture view elements to code artefacts (code classes, technologies, etc)","More Automated Processes,   CI/CD pipeline automation with intelligent build and deployment orchestration, Automated testing frameworks incorporating AI for test generation and maintenance, Intelligent code review systems that automatically detect patterns and suggest improvements","Software Development Life Cycle (SDLC) Implementation, Software Testing Life Cycle (STLC) Integration, CI/CD Pipeline Tools,Docker for containerization,
Kubernetes for container orchestration,Jira for agile project tracking,Integration between tools for seamless workflow"
12/10/2024 22:51:01,A graphical representation showing the structure of system components,11-15 years,21+ projects,Core/maintainer team member,Technical Lead,Neither,4,3,1,5,3,1,"Clarify the system structure, Ease understanding complex interactions, Assist communication among team members",Connection of components,Functionality,Very important,Important,Unimportant,,Important,Important,Neutral,Very unimportant,Neutral,Neutral,Neutral,,NONE,,Hard to mantain,"Myself, New potential contributors, Existing contributors",5,5,1,3,2,No,,"Linking architecture view elements to code artefacts (code classes, technologies, etc)",Definitely more AI will be used for everything. Perhaps people will ask LLM to draw them a flow/sequence/architecture diagram?,
12/10/2024 22:58:46,A graphical representation showing the structure of system components,7-10 years,21+ projects,Core/maintainer team member,"Software Architect, Technical Lead, DevOps Engineer",Both creating and using architecture views,3,3,3,4,3,4,"Clarify the system structure, Support onboarding new developers, Aid system documentation, Highlight architecture patterns, Visualize runtime behaviour, Show component dependencies","Control flow, Data flow, Connection of components","Compatibility, Security, Maintainability",Important,Important,Important,,Unimportant,Important,Very important,Neutral,Important,Important,Neutral,,"Draw.io / Diagram.net, Adobe XD","Easy to use, Presence of templates","Perceived low value, Complex to create, Hard to mantain, Lack of tools, Too time consuming","Myself, End users, New potential contributors, Existing contributors, Project maintainers, Management to explain how changes to roadmap affect the overall project",5,2,3,3,1,No,,"Architecture view creation, Architecture view update, Architecture view validation, ""Diagrams as Code"" without having to worry about creating the actual presentation and focussing instead on ensuring the content is correct",,
12/10/2024 23:28:03,A graphical representation showing the structure of system components,16+ years,4-10 projects,Core/maintainer team member,"Software Developer, Software Architect, Technical Lead, DevOps Engineer",Both creating and using architecture views,2,2,1,5,5,3,"Clarify the system structure, Help in design decision-making","Data flow, Connection of components",Functionality,Important,Important,Important,"UML, C4",Neutral,Important,Very unimportant,Unimportant,Neutral,Neutral,Neutral,Architectural components live on several levels. Code classes is the least important one (to detailed). In general a level of service/package/component is enough.,"Draw.io / Diagram.net, Gaphor","Easy to use, Free to use, Can store artifacts in version control, can use from scripts",Hard to mantain,"New potential contributors, Existing contributors",5,3,3,4,5,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view validation",Not. It's already there for many years.,It's important to be able to validate architecture artifacts (or any documentation) with the real (deployed) architecture. This way the users of the architecture view can be certain that they look at something up to date.
12/10/2024 23:28:08,A graphical representation showing the structure of system components,4-6 years,21+ projects,Core/maintainer team member,Software Developer,Creating architecture views,2,4,2,4,3,1,"Clarify the system structure, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Highlight architecture patterns, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Interaction capability",Very important,Important,Neutral,UML,Important,Very important,Neutral,Unimportant,Very important,Important,Neutral,,plantuml,"Easy to use, Integration with other tools, Versatile, Free to use, Supports collaboration","Perceived low value, Hard to mantain, Nobody uses the architecture views afterwards, I am legally blind, I can never really see the end result","Existing contributors, Project maintainers",5,3,3,4,4,No,,"Identification of architecture components, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/10/2024 23:32:13,A graphical representation showing the structure of system components,11-15 years,4-10 projects,Core/maintainer team member,Software Developer,Both creating and using architecture views,4,3,1,4,3,3,"Clarify the system structure, Ease understanding complex interactions, Help in design decision-making, Facilitate system evolution tracking, Highlight architecture patterns, Visualize runtime behaviour","Control flow, Data flow, Connection of components","Functionality, Performance, Compatibility, Interaction capability, Reliability, Security, Maintainability, Flexibility, Safety",Very important,Important,Important,"UML, ArchiMate, Reference Model of Open Distributed Processing (RM-ODP), IEEE 1471/ISO/IEC 42010",Important,Very important,Very important,Very important,Very important,Very important,Neutral,,Draw.io / Diagram.net,"Easy to use, Already used in my development company",Insufficient architectural design skills,"Myself, Existing contributors, Project maintainers",5,4,2,3,3,No,,"Identification of architecture components, Identification of connections / interaction between components, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 0:02:36,A graphical representation showing the structure of system components,16+ years,11-20 projects,Occasional contributor,"Software Architect, Technical Lead",Creating architecture views,3,2,2,4,3,2,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Show component dependencies",Connection of components,"Maintainability, Flexibility",Very important,Important,Neutral,UML,Important,Important,Very important,Neutral,Important,Important,Important,,Miro,"Easy to use, Versatile, Supports collaboration","Complex to create, Hard to mantain, Too time consuming, Nobody uses the architecture views afterwards","Myself, New potential contributors, Existing contributors, Project maintainers",3,4,3,4,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view update, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/11/2024 0:08:56,A graphical representation showing the structure of system components,11-15 years,21+ projects,Occasional contributor,"Software Architect, Product Owner",Both creating and using architecture views,4,1,4,5,2,5,"Clarify the system structure, Ease understanding complex interactions, Aid system documentation, Highlight architecture patterns, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Interaction capability",Very important,Important,Important,,Very important,Very important,Very important,Very important,Very important,Important,Important,,"Draw.io / Diagram.net, Visio","Easy to use, Rich of features, Versatile, Presence of templates, Free to use","Lack of templates, Too time consuming, Nobody uses the architecture views afterwards","New potential contributors, Existing contributors, Project maintainers",5,2,3,4,1,No,,"Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
